2025-11-19 10:27:01 | INFO | __main__ | Streamlit: RAG zinciri init ediliyor.
2025-11-19 10:27:01 | INFO | data_processor | [İndeks] Yerel Embedding Modeli yükleniyor: all-MiniLM-L6-v2
2025-11-19 10:27:05 | INFO | data_processor | [İndeks] Vektör İndeksi 'faiss_index_saglik' diskten yükleniyor...
2025-11-19 10:27:05 | INFO | rag_chain | RAG zinciri kuruluyor (Model: meta-llama/llama-4-scout-17b-16e-instruct)...
2025-11-19 10:27:07 | INFO | rag_chain | Reranker CrossEncoder modeli yükleniyor: cross-encoder/ms-marco-MiniLM-L-6-v2
2025-11-19 10:27:09 | DEBUG | rag_chain | Türkçe çeviri pipeline aktif. Model: llama-3.1-8b-instant
2025-11-19 10:27:09 | INFO | rag_chain | RAG zinciri başarıyla kuruldu (TR/EN, 3-seviyeli confidence, reranker + sohbet kapanışlı).
2025-11-19 10:27:09 | INFO | __main__ | Streamlit: RAG zinciri başarıyla init edildi. Available_sources: ["2019 - Grabb and Smith's Plastic Surgery 8th Edition.pdf"]
2025-11-19 10:28:54 | INFO | __main__ | Yeni PDF yüklendi ve kaydedildi: uploaded_pdfs\Textbook-of-Plastic-and-Reconstructive-Surgery.pdf
2025-11-19 10:28:54 | INFO | data_processor | [Veri] PDF yükleniyor: uploaded_pdfs\Textbook-of-Plastic-and-Reconstructive-Surgery.pdf
2025-11-19 10:29:06 | INFO | data_processor | [Veri] Toplam 491 sayfa yüklendi.
2025-11-19 10:29:06 | INFO | data_processor | [Veri] Parçalama sonrası toplam 971 adet doküman parçası oluşturuldu.
2025-11-19 10:29:06 | INFO | data_processor | extend_vector_store: Mevcut FAISS indeksine 971 yeni doküman parçası ekleniyor.
2025-11-19 10:29:23 | INFO | data_processor | extend_vector_store: Güncellenmiş FAISS indeksi diske kaydedildi (faiss_index_saglik).
2025-11-19 10:29:23 | INFO | rag_chain | RAG zinciri kuruluyor (Model: meta-llama/llama-4-scout-17b-16e-instruct)...
2025-11-19 10:29:23 | INFO | rag_chain | Reranker CrossEncoder modeli yükleniyor: cross-encoder/ms-marco-MiniLM-L-6-v2
2025-11-19 10:29:26 | DEBUG | rag_chain | Türkçe çeviri pipeline aktif. Model: llama-3.1-8b-instant
2025-11-19 10:29:26 | INFO | rag_chain | RAG zinciri başarıyla kuruldu (TR/EN, 3-seviyeli confidence, reranker + sohbet kapanışlı).
2025-11-19 10:29:26 | INFO | __main__ | Yeni dokümanlar indekse eklendi. Toplam yeni parça: 971, available_sources: ["2019 - Grabb and Smith's Plastic Surgery 8th Edition.pdf", 'Textbook-of-Plastic-and-Reconstructive-Surgery.pdf']
